SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference,Reference Period,Value,Flag Codes,Flags
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,5/19/2019,5/19/2019,IDX,Index,0,Units,,,99.37283,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,6/19/2019,6/19/2019,IDX,Index,0,Units,,,99.23931,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,7/19/2019,7/19/2019,IDX,Index,0,Units,,,99.17437,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",CZE,Czech Republic,M,Monthly,8/19/2019,8/19/2019,IDX,Index,0,Units,,,99.12714,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,9/17/2019,9/17/2019,IDX,Index,0,Units,,,100.362,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,10/17/2019,10/17/2019,IDX,Index,0,Units,,,100.5312,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,11/17/2019,11/17/2019,IDX,Index,0,Units,,,100.6348,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,12/17/2019,12/17/2019,IDX,Index,0,Units,,,100.5969,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,1/18/2019,1/18/2019,IDX,Index,0,Units,,,100.3149,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,2/18/2019,2/18/2019,IDX,Index,0,Units,,,100.1479,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,3/18/2019,3/18/2019,IDX,Index,0,Units,,,100.0727,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,4/18/2019,4/18/2019,IDX,Index,0,Units,,,100.2263,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,5/18/2019,5/18/2019,IDX,Index,0,Units,,,100.4402,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,6/18/2019,6/18/2019,IDX,Index,0,Units,,,100.4776,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,7/18/2019,7/18/2019,IDX,Index,0,Units,,,100.5249,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,8/18/2019,8/18/2019,IDX,Index,0,Units,,,100.4486,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,9/18/2019,9/18/2019,IDX,Index,0,Units,,,100.2139,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,10/18/2019,10/18/2019,IDX,Index,0,Units,,,100.0505,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,11/18/2019,11/18/2019,IDX,Index,0,Units,,,99.92191,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,12/18/2019,12/18/2019,IDX,Index,0,Units,,,99.70372,,
